Order ID,Customer ID,Platform,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested,OrderDate
ORD000001,CUST2824,JioMart,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No,1/1/2018
ORD000002,CUST1409,Blinkit,16,Dairy,279,Quick and reliable!,5,No,No,1/2/2018
ORD000003,CUST5506,JioMart,25,Beverages,599,Items missing from order.,2,No,Yes,1/3/2018
ORD000004,CUST5012,JioMart,42,Beverages,946,Items missing from order.,2,Yes,Yes,1/4/2018
ORD000005,CUST4657,Blinkit,30,Beverages,334,"Fast delivery, great service!",5,No,No,1/5/2018
ORD000006,CUST3286,Blinkit,25,Personal Care,1939,Items missing from order.,2,No,Yes,1/6/2018
ORD000007,CUST2679,JioMart,22,Personal Care,1693,"Fast delivery, great service!",5,No,No,1/7/2018
ORD000008,CUST9935,Swiggy Instamart,16,Personal Care,195,"Horrible experience, never ordering again.",1,No,Yes,1/8/2018
ORD000009,CUST2424,JioMart,39,Fruits & Vegetables,182,Very satisfied with the service.,5,No,No,1/9/2018
ORD000010,CUST7912,JioMart,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes,1/10/2018
ORD000011,CUST1520,JioMart,25,Fruits & Vegetables,553,"Fast delivery, great service!",5,No,No,1/11/2018
ORD000012,CUST1488,JioMart,11,Grocery,1062,Excellent experience!,5,No,No,1/12/2018
ORD000013,CUST2535,Blinkit,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,Yes,Yes,1/13/2018
ORD000014,CUST4582,JioMart,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes,1/14/2018
ORD000015,CUST4811,Swiggy Instamart,33,Fruits & Vegetables,50,"Easy to order, loved it!",5,No,No,1/15/2018
ORD000016,CUST9279,Blinkit,35,Beverages,143,Good quality products.,4,No,No,1/16/2018
ORD000017,CUST1434,Swiggy Instamart,41,Beverages,956,"Not fresh, disappointed.",2,Yes,Yes,1/17/2018
ORD000018,CUST4257,Swiggy Instamart,27,Beverages,161,Excellent experience!,5,No,No,1/18/2018
ORD000019,CUST9928,Swiggy Instamart,34,Dairy,417,"Horrible experience, never ordering again.",1,No,Yes,1/19/2018
ORD000020,CUST7873,Swiggy Instamart,26,Beverages,677,Quick and reliable!,5,No,No,1/20/2018
ORD000021,CUST4611,Blinkit,10,Beverages,789,Wrong item delivered.,1,No,Yes,1/21/2018
ORD000022,CUST8359,Blinkit,25,Beverages,739,Delivery person was rude.,2,No,Yes,1/22/2018
ORD000023,CUST5557,Swiggy Instamart,33,Beverages,486,Good quality products.,4,No,No,1/23/2018
ORD000024,CUST1106,Swiggy Instamart,20,Beverages,202,Packaging could be better.,3,No,No,1/24/2018
ORD000025,CUST3615,Blinkit,30,Grocery,1288,Delivery person was rude.,2,No,Yes,1/25/2018
ORD000026,CUST7924,Blinkit,32,Dairy,205,Very satisfied with the service.,5,No,No,1/26/2018
ORD000027,CUST6574,Blinkit,43,Fruits & Vegetables,204,Items missing from order.,2,Yes,Yes,1/27/2018
ORD000028,CUST5552,JioMart,20,Dairy,334,Wrong item delivered.,1,No,Yes,1/28/2018
ORD000029,CUST3547,JioMart,32,Dairy,563,"Horrible experience, never ordering again.",1,No,Yes,1/29/2018
ORD000030,CUST4527,JioMart,19,Grocery,1333,"Easy to order, loved it!",5,No,No,1/30/2018
ORD000031,CUST6514,Swiggy Instamart,8,Beverages,757,Excellent experience!,5,No,No,1/31/2018
ORD000032,CUST2674,JioMart,25,Personal Care,1651,Packaging could be better.,3,No,No,2/1/2018
ORD000033,CUST2519,Swiggy Instamart,24,Dairy,290,Quick and reliable!,5,No,No,2/2/2018
ORD000034,CUST7224,Swiggy Instamart,33,Personal Care,697,"Fast delivery, great service!",5,No,No,2/3/2018
